  PID TTY      STAT   TIME COMMAND
 3070 ?        S      0:00 /usr/bin/xbrlapi -q
 3123 ?        S      0:00 upstart-udev-bridge --daemon --user
 3124 ?        Ss     0:00 /bin/sh -e /proc/self/fd/9
 3133 ?        S      0:00 sleep 60
 3138 ?        Ss     0:00 sleep infinity
 3143 ?        Ss     0:00 /bin/sh -e /proc/self/fd/9
 3147 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 3149 ?        Ss     0:00 /bin/sh -e /proc/self/fd/9
 3150 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/url-dispatcher/url-dispatcher
 3152 ?        S      0:00 sleep 60
 3170 ?        S      0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
 3171 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 3182 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 3192 ?        S      0:00 upstart-file-bridge --daemon --user
 3303 ?        Ss     0:00 gpg-agent --homedir /home/chrism/.gnupg --use-standard-socket --daemon
 3312 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
 3320 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 3326 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 3327 ?        Ss     0:00 sleep infinity
 3366 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 3389 ?        Ssl    0:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
 3397 ?        Ssl    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 3414 ?        Ssl    0:00 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
 3443 ?        Sl     0:00 /usr/lib/ibus/ibus-dconf
 3448 ?        Sl     0:00 /usr/lib/ibus/ibus-ui-gtk3
 3454 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 3479 ?        Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 3482 ?        S      0:00 syndaemon -i 1.0 -t -K -R
 3486 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 3496 ?        Ss     0:00 /lib/systemd/systemd-localed
 3517 ?        Sl     0:00 nm-applet
 3523 ?        Ssl    0:03 /usr/bin/compiz
 3524 ?        Sl     0:01 nautilus -n
 3534 ?        Dl     0:04 /usr/bin/gnome-software --gapplication-service
 3538 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
 3541 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 3548 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 3550 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 3568 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 3572 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 3574 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 3576 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 3580 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 3584 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
 3585 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 3592 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 3596 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 3630 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 3644 ?        Ssl    0:00 /usr/lib/udisks2/udisksd --no-debug
 3659 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-greeter-session-broadcast/unity-greeter-session-broadcast-service
 3676 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 3683 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 3687 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 3691 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/gnome-online-accounts/goa-daemon
 3694 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
 3717 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/gnome-online-accounts/goa-identity-service
 3718 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 3744 ?        Ssl    0:00 /usr/lib/telepathy/mission-control-5
 3746 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 3752 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
 3769 ?        Sl     0:00 telepathy-indicator
 3777 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
 3800 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 3813 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3718x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3718/2
 3822 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3718x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3718/3
 3825 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 3844 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3825x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3825/2
 3853 ?        Sl     0:00 zeitgeist-datahub
 3863 ?        S      0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
 3876 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 3896 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 3929 ?        Ssl    0:00 /usr/lib/gnome-terminal/gnome-terminal-server
 3938 pts/4    Ss     0:00 bash
 3952 ?        S<     0:00 [kworker/1:2H]
 3954 ?        Sl     0:00 psensor
 3996 ?        S      0:00 /usr/lib/nullmailer/smtp -d -s mail
 3997 pts/4    R+     0:00 ps ax
